1,16	1,28
1,16	1,30
1,16	1,54
1,16	3,28
1,16	3,40
1,16	9,16
1,16	9,22
1,16	9,28
1,16	9,30
1,16	9,40
1,16	9,48
1,16	9,58
1,16	11,56
1,16	17,22
1,16	17,28
1,16	17,30
1,16	23,28
1,16	23,40
1,16	23,48
1,16	23,58
1,16	27,28
1,16	27,30
1,16	27,40
1,16	29,30
1,16	29,32
1,16	29,40
1,16	29,48
1,16	29,56
1,16	29,58
1,16	31,32
1,16	31,54
1,16	31,56
1,16	33,56
1,16	41,48
1,16	41,58
1,16	55,56
1,16	0,0
1,28	1,30
1,28	1,54
1,28	3,26
1,28	3,28
1,28	3,34
1,28	3,40
1,28	3,48
1,28	3,50
1,28	3,58
1,28	9,16
1,28	9,22
1,28	9,28
1,28	9,30
1,28	9,40
1,28	9,48
1,28	9,58
1,28	11,32
1,28	11,34
1,28	11,46
1,28	11,50
1,28	11,56
1,28	17,22
1,28	17,28
1,28	17,30
1,28	19,42
1,28	21,48
1,28	21,58
1,28	23,28
1,28	23,40
1,28	23,48
1,28	23,58
1,28	27,28
1,28	27,30
1,28	27,32
1,28	27,34
1,28	27,40
1,28	27,48
1,28	27,50
1,28	27,58
1,28	29,30
1,28	29,32
1,28	29,40
1,28	29,48
1,28	29,56
1,28	29,58
1,28	31,32
1,28	31,54
1,28	31,56
1,28	33,50
1,28	33,56
1,28	35,42
1,28	35,46
1,28	35,50
1,28	41,48
1,28	41,58
1,28	43,50
1,28	49,58
1,28	55,56
1,28	0,0
1,30	1,54
1,30	3,26
1,30	3,28
1,30	3,34
1,30	3,40
1,30	3,48
1,30	3,50
1,30	3,58
1,30	9,16
1,30	9,22
1,30	9,28
1,30	9,30
1,30	9,40
1,30	9,48
1,30	9,58
1,30	11,32
1,30	11,34
1,30	11,46
1,30	11,50
1,30	11,56
1,30	17,22
1,30	17,28
1,30	17,30
1,30	19,42
1,30	23,28
1,30	27,28
1,30	27,30
1,30	27,32
1,30	27,34
1,30	27,40
1,30	27,48
1,30	27,50
1,30	27,58
1,30	29,30
1,30	29,32
1,30	29,40
1,30	29,48
1,30	29,56
1,30	29,58
1,30	31,32
1,30	31,54
1,30	31,56
1,30	33,50
1,30	33,56
1,30	35,42
1,30	35,46
1,30	35,50
1,30	43,50
1,30	55,56
1,30	0,0
1,54	3,28
1,54	9,16
1,54	9,22
1,54	9,28
1,54	9,30
1,54	9,40
1,54	9,48
1,54	9,58
1,54	11,56
1,54	17,22
1,54	17,28
1,54	17,30
1,54	23,28
1,54	23,40
1,54	23,48
1,54	23,58
1,54	27,28
1,54	27,30
1,54	29,30
1,54	29,32
1,54	29,40
1,54	29,48
1,54	29,56
1,54	29,58
1,54	31,32
1,54	31,54
1,54	31,56
1,54	33,56
1,54	55,56
1,54	0,0
3,26	3,28
3,26	3,34
3,26	3,40
3,26	3,48
3,26	3,50
3,26	3,58
3,26	5,20
3,26	9,16
3,26	9,22
3,26	9,28
3,26	9,30
3,26	9,40
3,26	9,48
3,26	9,58
3,26	11,32
3,26	11,34
